id,isBadLoan,Usage
458162,0,Private
640774,0,Public
1066281,0,Public
378851,0,Public
765317,0,Public
826922,1,Public
453437,1,Public
1062250,1,Public
387021,0,Public
971781,0,Public
978904,0,Public
674982,1,Private
468494,0,Private
765039,1,Private
519880,1,Public
682142,1,Public
1033938,0,Public
670331,0,Private
995018,0,Private
995565,0,Private
375276,0,Private
465949,0,Private
468866,0,Public
466150,0,Public
698216,0,Private
584866,0,Public
351724,0,Public
570654,0,Private
523687,0,Private
797336,0,Public
468082,0,Private
565238,1,Private
548796,1,Private
792395,0,Private
516360,0,Public
708178,0,Private
503843,0,Public
381578,0,Private
565437,0,Public
870884,0,Private
650196,0,Private
756669,0,Private
608387,0,Public
784270,0,Public
1068326,0,Public
728208,0,Private
685795,0,Public
706255,0,Private
598788,0,Private
531524,0,Private
488256,0,Public
542796,0,Public
484100,0,Private
764483,1,Private
413237,0,Private
718593,1,Private
426837,0,Public
642388,0,Public
535922,0,Private
873510,0,Public
654677,0,Private
970156,0,Public
491757,0,Private
1055405,0,Public
1026558,0,Private
558201,0,Private
666437,0,Private
1034299,0,Public
749255,0,Private
635460,1,Private
856190,0,Private
863723,0,Public
775086,0,Private
640236,1,Private
1063626,0,Public
523325,0,Public
628463,0,Public
739765,0,Public
697613,0,Private
574856,0,Public
684637,0,Private
710594,0,Private
804567,1,Private
1034363,1,Public
621017,1,Private
520831,0,Public
871175,0,Private
387377,0,Private
321090,0,Private
1030791,0,Public
468885,0,Private
645882,0,Public
868293,0,Public
605699,0,Public
644217,0,Private
978549,1,Private
501302,0,Public
805766,0,Private
432365,0,Private
768020,0,Public
834822,0,Private
775331,0,Private
645650,0,Private
744022,0,Public
453667,0,Public
451689,0,Public
365445,0,Private
836804,0,Public
996337,0,Private
428085,0,Private
443376,1,Private
453052,0,Private
587749,1,Private
379338,0,Private
656652,0,Public
1031489,0,Public
744174,1,Private
744315,0,Private
376534,0,Private
619513,0,Public
542040,0,Public
752901,0,Public
364719,0,Private
982070,0,Private
538526,0,Public
654211,1,Private
757135,0,Private
985894,0,Private
677017,0,Public
421134,0,Public
405415,1,Public
998884,0,Public
1059289,0,Public
445271,0,Private
886815,0,Public
594814,0,Public
890642,0,Private
1024620,0,Public
503740,0,Public
727449,0,Private
789053,0,Private
464236,0,Public
351184,0,Private
555960,0,Public
706606,0,Public
602432,0,Public
409404,0,Private
562283,0,Private
528277,1,Public
463151,0,Private
775213,0,Public
793421,0,Private
450656,1,Public
739599,1,Private
788963,0,Private
523986,1,Private
358230,0,Public
867290,0,Private
995722,0,Public
1012895,0,Private
572862,0,Private
894501,0,Private
1015522,0,Private
800317,0,Private
738389,0,Private
515037,1,Private
686283,0,Private
1001752,0,Public
1030413,0,Private
1034807,1,Private
675289,0,Public
472791,0,Private
389056,0,Public
630879,0,Public
989169,0,Private
435384,0,Public
715703,0,Private
1035508,0,Public
620840,0,Private
565028,0,Private
801843,0,Public
430262,0,Private
859068,0,Private
632851,1,Private
557549,0,Public
608913,0,Private
994611,0,Public
771304,1,Public
1064589,0,Private
505561,0,Private
666496,0,Private
835172,1,Public
820387,0,Private
619870,0,Public
520338,0,Public
461912,0,Private
778768,1,Public
521363,0,Private
351835,0,Public
661748,0,Public
355476,1,Public
762898,0,Public
1003713,0,Private
1009763,1,Private
714769,1,Private
498944,0,Public
523228,1,Public
501536,0,Public
779279,0,Private
566992,1,Public
603087,0,Public
476343,0,Private
1066842,0,Private
468709,0,Public
623559,0,Private
546954,1,Private
824259,1,Private
970313,0,Private
863241,1,Private
677563,0,Private
670409,0,Public
967528,0,Public
617463,0,Public
482319,0,Public
1010875,0,Private
1024798,1,Private
527581,0,Private
976729,0,Public
456408,0,Private
838088,0,Public
853664,0,Public
807180,0,Private
371779,0,Public
778387,0,Public
819238,0,Public
765570,0,Private
672373,0,Private
578826,0,Public
468315,1,Private
457833,0,Public
664941,0,Public
774055,0,Private
436852,0,Public
687492,0,Public
377020,0,Public
649352,0,Private
409378,0,Public
503044,0,Public
654916,0,Private
610331,0,Private
612578,0,Public
1013619,0,Public
179897,0,Public
684390,0,Private
893892,0,Public
719002,0,Private
784781,0,Public
743789,0,Private
475463,0,Public
453018,1,Public
1014346,0,Private
988100,1,Private
801784,0,Public
417531,0,Private
414134,0,Private
745064,0,Private
1058959,0,Private
737777,0,Public
307533,1,Private
987097,0,Private
790135,0,Private
456281,0,Private
1047657,0,Public
770669,1,Private
628287,0,Public
491054,1,Private
678853,0,Public
1055800,0,Private
768168,0,Public
348340,0,Public
486362,0,Private
829990,0,Public
755124,0,Private
760521,0,Private
1044439,0,Private
969525,0,Public
782812,1,Private
892780,0,Private
989375,0,Public
405008,0,Private
817723,0,Private
607782,0,Private
986180,0,Private
855146,0,Private
438410,0,Public
868348,0,Private
546531,0,Private
603891,0,Private
994525,1,Public
410399,0,Public
488243,0,Private
641977,1,Private
559869,0,Private
1000786,0,Private
893436,0,Private
690010,0,Public
491187,0,Private
1029783,0,Private
261382,0,Public
488733,0,Public
582756,0,Private
886277,0,Private
549291,0,Public
662636,0,Private
1022513,0,Private
1069287,0,Public
521974,0,Private
548321,0,Private
987278,0,Public
742847,0,Public
436358,0,Private
1059462,0,Private
740900,0,Private
748054,1,Private
362717,0,Public
967897,0,Private
436178,0,Private
524737,0,Private
514439,0,Public
750212,0,Public
1035373,1,Public
709979,0,Public
395653,0,Public
520620,0,Private
1050726,0,Private
154286,0,Public
65640,0,Public
1033121,0,Private
367745,0,Public
890700,1,Private
564704,0,Private
975846,0,Public
746742,1,Private
834052,0,Private
755968,0,Private
739491,1,Private
599194,0,Private
571715,0,Private
1058372,1,Private
439501,0,Public
750893,0,Private
601926,0,Public
125897,0,Private
400658,0,Private
333783,1,Private
755057,0,Public
1035987,0,Private
495428,0,Public
825562,0,Private
642856,0,Public
662696,0,Public
866572,0,Public
1033259,0,Private
535696,0,Private
477220,0,Private
57245,0,Private
863376,0,Private
362664,0,Private
668841,0,Private
415658,0,Public
1046905,1,Private
1022125,0,Public
774964,0,Private
987145,0,Private
527764,0,Private
506684,1,Private
630843,0,Private
447558,0,Public
571566,0,Public
696801,0,Public
764624,0,Public
487201,0,Public
877556,0,Public
584657,0,Public
570032,1,Private
684868,0,Public
609865,0,Private
642862,0,Private
625430,0,Public
1019631,0,Private
668426,0,Private
648376,0,Private
792193,1,Private
843086,0,Private
969875,0,Private
888223,1,Public
876755,0,Public
572204,0,Public
1022152,0,Public
877617,0,Private
727050,0,Private
851498,1,Private
600091,1,Private
1050212,0,Private
428954,0,Public
796943,0,Public
998418,0,Public
420464,0,Public
780110,0,Private
737521,0,Private
650968,0,Private
829355,0,Private
741759,0,Public
654479,0,Public
843307,0,Public
411809,0,Private
978429,0,Public
345503,1,Private
874554,0,Private
768911,0,Private
785849,0,Private
471129,0,Private
347932,0,Private
470869,0,Private
489658,0,Private
1028681,0,Public
361356,1,Private
601934,0,Private
443237,0,Private
726304,0,Private
694480,0,Private
832200,0,Public
633868,0,Private
821086,0,Public
1062625,0,Public
372600,1,Public
768796,0,Public
661230,0,Public
810303,1,Private
454268,0,Public
698265,0,Public
887160,0,Private
968778,0,Public
544715,0,Private
967843,0,Public
849089,0,Private
293471,1,Public
893046,0,Public
780193,0,Public
722961,0,Public
462805,0,Public
557584,0,Public
611615,0,Public
453587,0,Public
582374,1,Public
642467,1,Private
675591,1,Private
730198,0,Public
416831,1,Public
519960,1,Private
723745,0,Private
1068509,1,Public
765145,0,Private
1060631,0,Public
1056090,0,Public
786427,0,Private
436222,0,Public
602221,0,Public
603304,0,Private
696160,1,Public
458184,0,Public
359543,0,Public
1042802,0,Private
1029617,0,Private
822735,0,Private
624804,1,Private
542137,0,Private
653147,0,Public
831123,0,Public
392670,0,Public
642762,0,Private
823357,1,Public
993766,0,Private
863348,0,Private
1019471,0,Public
484611,0,Public
472168,0,Private
739857,0,Public
493667,0,Private
629071,1,Private
435305,0,Public
967828,0,Private
852107,0,Public
612541,1,Private
769615,0,Private
662552,0,Private
458148,0,Private
602193,1,Public
508137,1,Public
846186,0,Private
780797,0,Public
861722,0,Public
741259,1,Public
752315,0,Private
1003349,0,Private
995410,1,Private
884560,0,Private
722110,1,Private
642349,0,Private
876865,0,Private
753026,0,Private
629141,0,Private
1050137,0,Private
1052548,1,Public
1036475,0,Public
469044,0,Private
232488,0,Private
666443,0,Public
652545,0,Private
557517,0,Public
689904,0,Private
824881,0,Private
680155,0,Public
595079,0,Public
487546,1,Public
526071,0,Private
968858,0,Public
1036941,0,Private
481416,1,Public
363683,1,Public
636843,0,Public
592359,0,Public
440424,0,Private
815368,0,Public
864625,0,Private
571874,1,Private
435813,0,Private
967290,0,Public
687503,0,Private
364302,0,Private
736726,0,Private
512106,0,Private
372540,0,Private
562332,0,Public
874121,0,Private
586207,0,Private
1014717,0,Public
724163,0,Private
708384,0,Private
1010410,1,Public
858415,0,Public
451419,0,Public
593370,1,Private
1060979,1,Public
818604,0,Public
502236,0,Private
607672,0,Private
433304,0,Public
978652,0,Private
452382,0,Private
629639,0,Public
693296,0,Public
683908,0,Public
797213,0,Private
1017187,0,Private
488125,0,Public
735263,0,Public
549671,0,Public
638258,0,Public
501797,0,Public
618059,0,Public
761951,0,Public
542591,0,Public
1004099,0,Private
836842,1,Private
1039468,0,Public
817797,1,Public
537162,1,Public
472894,0,Public
774957,0,Public
535233,1,Private
825167,0,Public
866035,0,Public
838376,0,Public
445289,1,Private
831110,0,Public
488422,0,Public
473535,0,Private
1038602,1,Private
631428,0,Private
597004,0,Private
731382,0,Private
883300,0,Public
1019997,0,Public
366092,0,Public
827024,1,Private
1015707,0,Public
675501,0,Public
833266,0,Private
439879,0,Private
684223,0,Private
1038680,0,Private
739731,0,Public
862527,0,Private
441286,0,Public
638476,0,Private
368469,0,Private
521740,0,Public
583585,0,Public
815541,0,Private
478753,0,Private
726700,0,Public
652979,0,Public
1016039,1,Public
474235,0,Public
642665,0,Public
583920,0,Private
645924,0,Private
462279,0,Public
789233,0,Private
987006,1,Private
628955,0,Public
1052795,0,Public
814124,1,Private
871205,0,Public
831774,0,Private
805371,0,Private
609423,1,Private
670841,0,Private
489482,0,Public
699300,1,Private
746883,0,Public
642837,0,Private
401630,1,Private
404057,0,Public
611147,0,Public
724218,0,Public
638430,0,Public
659782,0,Private
362386,1,Public
804703,0,Public
997567,0,Private
586116,0,Private
854545,0,Public
608460,0,Private
1025160,0,Public
454771,0,Public
974518,0,Public
706376,0,Private
618682,0,Public
387744,0,Private
1047629,0,Private
464824,0,Public
1039243,0,Private
698976,0,Private
802348,1,Public
290803,1,Private
733213,0,Private
360213,1,Private
672861,0,Private
739612,0,Public
722049,0,Private
504302,0,Private
156868,0,Public
400900,1,Private
483424,1,Private
619857,1,Private
479322,0,Public
351090,1,Public
525162,0,Private
506767,0,Private
383163,0,Public
741520,1,Public
756869,0,Private
824761,0,Public
475456,0,Private
831833,0,Private
574541,0,Public
619431,0,Public
353365,0,Public
601652,0,Public
832683,0,Private
784305,0,Public
549355,0,Private
461755,0,Public
517108,0,Public
1001640,0,Public
766148,0,Public
617755,0,Public
379776,0,Public
696230,0,Public
411487,1,Public
426237,0,Private
820281,0,Public
414574,0,Public
774719,0,Private
571753,0,Public
648448,0,Private
1044982,0,Public
384414,0,Private
440758,0,Public
781320,0,Public
679972,0,Private
708472,0,Private
1015536,0,Public
552420,0,Private
1056345,0,Private
404953,0,Private
864185,1,Public
520184,0,Public
718559,0,Private
590215,1,Public
573515,0,Private
606796,0,Public
577937,0,Private
1060981,1,Public
612022,0,Private
973882,0,Private
597450,0,Public
579900,0,Private
874463,0,Private
679758,0,Private
1034948,0,Public
377027,0,Public
640973,1,Public
1013089,0,Public
612043,0,Public
452383,0,Private
584242,0,Private
605397,0,Private
545956,0,Private
641530,0,Private
754762,0,Public
882097,0,Private
663839,0,Private
1036343,0,Private
633317,0,Private
733384,0,Private
421529,0,Public
891457,0,Public
360679,0,Public
804668,0,Public
1053018,0,Public
693707,0,Private
1035273,0,Public
740833,1,Public
555064,0,Private
1038101,0,Private
742259,1,Public
644408,0,Private
1068159,0,Public
702470,0,Private
126215,0,Private
429886,0,Public
765334,0,Private
838565,0,Private
655958,1,Public
589635,0,Private
686069,0,Private
1049007,0,Private
1010915,1,Private
461848,0,Public
352948,0,Public
1052358,0,Public
585912,0,Private
820958,0,Private
718404,0,Private
626093,0,Public
676963,0,Public
1038672,0,Private
737936,1,Public
594374,0,Private
484364,0,Public
348557,0,Private
424513,0,Private
865051,1,Public
774931,0,Private
493132,1,Private
131387,0,Private
868303,0,Public
852429,0,Public
524778,0,Public
533664,0,Private
448517,0,Private
678088,0,Private
615700,1,Private
573916,0,Public
1037891,0,Private
865653,1,Public
831085,0,Public
815007,0,Public
715695,1,Private
980207,0,Public
853561,0,Public
651219,0,Private
609986,0,Private
451271,0,Private
736525,0,Private
1038531,0,Public
539292,0,Public
577683,0,Private
806442,0,Private
545872,0,Private
648017,0,Private
806864,0,Private
788585,0,Public
785135,0,Public
487048,0,Private
1067579,0,Public
594983,0,Private
529350,0,Public
1014541,1,Private
815085,0,Public
630915,0,Private
372144,0,Public
1049924,0,Private
541894,1,Public
623525,0,Private
607800,0,Private
466137,0,Public
501416,0,Public
778713,0,Private
829260,0,Public
362523,0,Public
810188,0,Public
1001727,1,Public
752625,0,Public
884395,1,Private
507217,1,Public
677491,0,Private
524905,0,Private
383364,0,Private
494719,0,Public
438150,0,Private
526976,0,Private
790748,0,Private
1039178,0,Private
761992,0,Private
842372,0,Public
550110,0,Public
537883,0,Private
891940,0,Public
342507,1,Private
559407,0,Private
819666,0,Private
532956,0,Public
973679,0,Private
462259,1,Public
520827,1,Private
519520,0,Public
688799,1,Public
559039,0,Public
625234,0,Public
1061378,0,Public
698092,0,Private
840514,0,Private
370435,0,Public
966682,0,Public
1060019,1,Private
997328,1,Private
742468,0,Private
560106,0,Private
474492,0,Private
718201,0,Public
891891,0,Public
1004403,0,Private
832574,0,Private
1053092,1,Public
382096,0,Private
590866,0,Public
658265,0,Public
488775,0,Public
846506,0,Public
481874,0,Private
833335,0,Private
1009664,0,Public
418963,0,Public
630368,0,Private
586347,1,Public
645340,0,Private
552453,0,Public
695172,0,Private
772265,0,Public
610671,0,Private
579868,0,Private
406336,0,Private
227383,0,Private
481883,0,Private
399590,0,Public
832426,0,Private
439482,1,Private
604469,0,Private
447070,0,Private
599010,0,Private
1025596,1,Private
772694,0,Private
1007386,1,Public
789637,0,Public
656937,0,Public
590769,1,Private
797233,0,Private
365919,0,Private
473497,0,Private
461064,0,Public
538622,0,Private
1030450,0,Public
373376,0,Private
518892,0,Public
975041,0,Public
498998,0,Public
538508,0,Public
709792,0,Public
852931,0,Private
434191,1,Private
481316,0,Public
713955,0,Private
1044615,0,Private
581983,0,Public
631559,1,Public
1006590,0,Private
490232,0,Public
870610,1,Private
655764,0,Public
402075,0,Private
832563,0,Private
604971,0,Private
766102,0,Public
997612,0,Public
441601,0,Public
814667,0,Private
880773,1,Private
671363,0,Public
1058195,0,Public
383960,0,Private
978254,0,Private
1055873,1,Public
246179,0,Public
992224,0,Private
393287,0,Private
851986,0,Public
666424,0,Public
440756,0,Private
534276,0,Private
537896,0,Public
423349,0,Private
471313,0,Public
477247,1,Private
610693,0,Public
369360,0,Private
508802,0,Private
642913,0,Public
771531,0,Private
1009193,0,Public
838277,0,Private
565771,0,Private
579922,0,Public
760654,0,Private
867821,0,Private
484321,0,Private
491900,0,Public
755595,0,Private
837679,0,Public
430026,0,Public
533271,0,Private
863309,0,Public
462641,0,Private
445664,0,Public
668101,0,Private
410582,0,Public
429807,0,Private
754352,0,Public
715504,0,Private
807820,0,Private
454186,0,Public
806476,0,Public
571780,0,Private
971457,0,Public
1011263,0,Public
1047667,0,Private
423781,0,Private
786678,0,Private
353933,0,Public
620894,0,Public
348005,0,Public
618911,0,Private
471391,0,Public
1012019,1,Private
1058615,0,Public
784060,1,Private
391825,0,Private
378564,0,Private
1048336,0,Public
829218,0,Private
584992,0,Private
559499,0,Private
455987,0,Private
507421,0,Public
431997,0,Private
702318,0,Public
853941,0,Public
994660,0,Private
376036,0,Public
555809,0,Public
430989,0,Private
521565,0,Private
399365,0,Public
494439,0,Private
426832,0,Public
856495,0,Public
568148,1,Private
1015798,0,Private
556787,1,Private
630586,0,Private
464514,0,Private
828134,0,Public
633221,0,Public
675296,0,Private
1005073,0,Public
557202,1,Public
990710,0,Public
716528,0,Private
368371,0,Public
543087,0,Public
727755,0,Public
642771,0,Public
516787,0,Public
721983,0,Private
968278,0,Public
743860,0,Private
459122,0,Public
798172,0,Public
582580,1,Private
850632,0,Public
705479,0,Public
853130,0,Public
812571,1,Private
424360,0,Private
1045477,0,Public
801461,1,Private
982991,0,Private
1015726,0,Public
1057522,0,Private
1067654,0,Private
755314,0,Private
1025052,0,Private
540706,0,Private
543331,1,Private
551660,0,Private
886858,0,Public
486980,0,Public
502139,0,Public
979840,0,Private
441121,0,Public
752742,1,Private
597785,1,Public
482398,0,Public
753732,1,Private
1000497,0,Private
601803,1,Private
543840,0,Private
806772,0,Private
460657,0,Private
660850,0,Private
524485,1,Private
361945,1,Private
773063,1,Public
354076,0,Private
390347,0,Private
1047400,0,Private
831432,0,Private
477281,0,Private
504611,0,Private
729446,0,Public
787376,0,Private
472668,0,Public
659280,1,Public
209581,1,Public
990118,1,Private
640719,0,Private
364870,0,Private
1044372,0,Private
822056,0,Public
1056856,0,Private
883972,0,Private
258521,0,Private
640354,0,Public
383307,0,Private
357864,0,Public
972613,1,Private
581483,0,Public
477656,0,Public
585228,0,Public
409611,1,Public
350090,1,Public
558774,0,Private
557688,0,Private
525760,0,Private
530599,0,Public
1035518,1,Private
730829,0,Public
571077,1,Private
442191,0,Private
696020,0,Private
832834,0,Private
594923,0,Public
608421,0,Private
181036,0,Private
546061,0,Private
841518,0,Private
642770,0,Private
805064,0,Public
486422,0,Public
469601,0,Private
503028,0,Public
516742,0,Private
749533,0,Public
586287,0,Public
390532,0,Public
515502,0,Private
974704,0,Public
547972,0,Private
390671,0,Private
850364,0,Public
786626,0,Public
535555,1,Public
967801,1,Private
868392,1,Private
489630,0,Public
450180,0,Private
828518,0,Private
1061656,0,Private
758672,1,Public
868539,0,Private
439077,0,Private
828010,0,Private
634459,1,Private
649688,1,Public
436481,0,Private
833816,0,Private
878126,0,Private
473942,0,Private
384947,0,Public
507603,0,Private
884532,0,Public
368223,0,Private
862477,0,Private
994135,0,Public
842502,0,Public
1061972,0,Public
467013,0,Public
995815,0,Private
436519,0,Private
545930,1,Public
770773,0,Private
786317,0,Public
468045,0,Public
496707,0,Private
476319,0,Private
424330,0,Private
347709,0,Private
1028222,0,Public
464535,0,Public
574270,0,Public
979899,0,Private
421287,0,Public
779411,0,Public
608370,0,Public
757181,0,Public
659318,0,Private
558771,0,Private
376936,0,Private
388582,0,Public
687039,0,Public
433954,0,Private
979157,0,Public
1034262,0,Private
375709,1,Private
1011666,0,Private
537061,0,Public
547630,0,Private
448139,0,Public
499365,0,Private
724717,0,Public
375429,0,Public
760683,0,Public
998386,0,Public
264267,1,Private
581938,0,Private
455904,0,Private
601507,0,Public
822649,1,Public
511319,0,Private
472921,0,Private
457181,0,Public
530175,1,Private
377311,0,Private
624565,0,Private
992140,0,Private
538742,0,Public
617174,0,Public
766911,0,Public
632049,0,Public
496220,1,Public
734039,0,Private
794040,0,Private
437982,0,Public
643383,0,Private
666599,0,Private
502492,0,Public
331459,0,Public
516889,1,Public
252482,0,Private
626373,1,Public
740599,1,Private
797886,0,Private
595405,0,Public
367777,0,Private
891543,0,Private
728245,0,Public
723122,0,Public
742971,0,Private
807734,0,Private
491632,0,Public
478948,0,Private
427370,1,Private
629480,0,Private
709197,0,Public
495341,0,Private
799704,0,Private
879275,0,Private
630379,0,Public
610609,0,Public
879231,0,Public
499328,0,Private
519083,0,Public
871431,0,Public
630359,0,Private
466698,0,Private
820664,0,Public
736535,0,Private
643213,1,Private
583513,0,Public
595785,1,Public
1045739,0,Private
528562,0,Public
653370,0,Public
812527,0,Public
669325,0,Public
832602,0,Private
737345,1,Private
385412,0,Public
439523,1,Private
487781,0,Public
496887,0,Public
1011693,1,Private
198952,0,Private
522904,0,Private
1067326,0,Private
462689,0,Private
605713,0,Private
701176,0,Public
759372,1,Private
650913,0,Public
536299,0,Public
844358,0,Private
456627,0,Public
348208,0,Private
503286,0,Public
381068,0,Private
551696,0,Private
648603,0,Public
811317,0,Private
879644,0,Public
399423,0,Private
439786,0,Public
583942,0,Public
657326,1,Private
435440,0,Public
682975,0,Private
741724,1,Public
373384,0,Private
936915,1,Public
511215,0,Public
873560,0,Private
541449,0,Public
1048621,1,Public
689192,0,Public
757964,1,Private
1018080,1,Public
970665,0,Public
1048862,0,Public
504366,0,Public
978771,0,Private
999532,0,Private
423965,0,Public
434265,0,Public
504347,0,Private
809996,0,Public
967080,0,Private
820482,0,Private
598028,0,Private
417986,0,Public
987943,0,Private
1005967,0,Private
889342,0,Public
1069559,1,Public
543926,0,Private
453967,0,Private
290605,0,Private
524860,0,Private
1061060,0,Private
213732,1,Public
754294,0,Public
447737,0,Public
809092,0,Public
539378,0,Public
1019133,0,Public
848727,0,Private
975156,1,Public
825558,0,Public
881309,0,Private
1064904,0,Public
275880,0,Public
178236,0,Private
650638,0,Private
237246,0,Private
968370,1,Public
549714,0,Private
689505,0,Public
456639,0,Private
492913,0,Public
965918,1,Public
339637,0,Public
998229,0,Public
545274,0,Public
787441,0,Public
402568,1,Public
446466,0,Private
551639,0,Private
393387,0,Public
1046507,0,Private
645176,0,Public
1030558,1,Public
712408,0,Public
563669,0,Private
705949,0,Public
468112,0,Private
797959,0,Public
856571,1,Private
570116,0,Private
729124,0,Public
532210,0,Public
660157,1,Public
866028,0,Private
669735,0,Public
487311,1,Private
732882,1,Public
519027,0,Private
229930,0,Private
485111,0,Private
494025,1,Public
459300,0,Public
823003,0,Public
532531,1,Public
768596,0,Public
823990,0,Private
698107,0,Public
632465,0,Private
1040865,0,Private
455821,1,Public
449869,1,Public
401856,0,Private
1010646,0,Public
735514,0,Public
464469,0,Private
744416,0,Private
710158,0,Private
997521,1,Public
883533,0,Public
1055593,0,Private
602984,0,Public
999844,0,Private
888951,0,Public
1036069,1,Private
671179,0,Public
661137,0,Public
712132,0,Public
609918,1,Public
429285,0,Public
1024549,0,Public
1030451,0,Public
1068395,0,Private
602720,0,Private
1040965,0,Private
486922,0,Private
1003485,0,Private
736380,0,Public
537297,1,Public
416615,0,Public
568367,0,Public
190811,1,Private
696537,0,Private
1034368,0,Public
382432,0,Public
781160,0,Public
616629,0,Private
1016517,0,Private
739770,0,Private
555191,0,Private
351462,0,Private
969878,0,Public
558266,0,Public
987852,0,Private
854366,0,Private
440285,0,Public
439480,0,Private
1059843,0,Private
550387,0,Public
433155,0,Private
603155,0,Public
521681,0,Private
484846,0,Public
615558,0,Public
657172,0,Public
632268,0,Private
390743,0,Public
464146,0,Private
833422,0,Private
739859,0,Public
548135,1,Private
568471,0,Public
496476,0,Public
419142,0,Private
626903,0,Private
851222,1,Public
793621,0,Public
478470,0,Private
1040640,0,Public
664637,0,Private
1034693,0,Public
457637,0,Private
173981,0,Public
806406,0,Public
775634,1,Private
995913,0,Public
1034771,0,Private
477008,0,Private
626291,0,Private
517694,0,Public
218343,1,Public
774142,0,Public
601463,0,Public
738276,0,Public
482297,0,Private
404245,0,Public
503595,0,Private
628220,0,Private
154305,0,Private
583055,0,Public
530959,0,Public
1030131,0,Private
514638,0,Private
538350,0,Private
772112,1,Private
711711,0,Private
508809,0,Private
481176,0,Private
1066835,1,Private
755241,0,Public
621572,1,Private
692840,0,Public
557932,1,Public
634443,0,Public
739926,0,Public
568036,0,Public
455300,1,Private
373647,0,Private
379840,0,Private
559242,0,Public
467938,0,Private
1046456,0,Public
999335,0,Public
1052329,0,Public
760863,1,Private
398255,0,Private
795305,0,Public
787038,0,Public
384822,0,Public
708122,0,Public
843844,0,Public
1044499,0,Private
660567,0,Public
657671,0,Private
132946,0,Public
769201,0,Private
769027,0,Public
225054,0,Private
366642,0,Private
822939,0,Public
670222,0,Private
977140,0,Public
572784,0,Private
634396,0,Public
999469,0,Public
379373,0,Private
612530,1,Private
1038285,0,Private
769892,0,Private
756327,0,Public
913851,0,Public
1044183,0,Public
774408,0,Private
860728,0,Private
799326,0,Public
802048,0,Private
831666,0,Public
492264,1,Public
555869,0,Private
815210,0,Private
661218,0,Private
499886,0,Public
520122,0,Public
491946,0,Public
843777,0,Public
631459,0,Public
984948,0,Public
583463,0,Private
710350,0,Private
864110,0,Private
829368,0,Private
397366,0,Public
677398,0,Public
795021,0,Public
490987,0,Public
817401,0,Private
732936,0,Private
1050920,0,Public
651824,1,Private
800659,0,Private
863602,0,Public
1003335,0,Private
598668,0,Public
433245,1,Private
1063199,0,Public
512970,0,Public
831074,0,Public
1012794,0,Private
582097,0,Private
405365,0,Public
778529,0,Public
852502,0,Public
474990,0,Public
1057140,0,Public
620621,0,Public
1059620,1,Public
820385,0,Public
864011,0,Private
554739,0,Public
488100,0,Public
499037,0,Private
1020113,0,Public
809947,0,Private
642502,0,Public
1012375,0,Public
1001116,0,Private
1062564,0,Private
368507,0,Private
671193,0,Private
883253,0,Private
994044,0,Private
866174,0,Private
445762,0,Private
891913,1,Private
564911,0,Private
887145,0,Private
516237,0,Public
883528,0,Public
439656,0,Public
745149,0,Private
840337,0,Public
875251,1,Private
696817,1,Private
1035597,0,Public
358470,0,Private
831534,0,Public
454685,1,Private
